pde,condition,step,pde_transformer_raw,pde_ttt_raw_3seed_mean,pde_ttt_raw_3seed_std,mean_difference,winning_seed_count
kdv,ood_high,10,0.173716,0.16345348084966338,0.03604530753823481,-0.010262519150336638,2
kdv,ood_high,20,0.377963,0.3555577976836098,0.07686902051032837,-0.02240520231639015,1
kdv,ood_high,29,0.543454,0.5267928325467639,0.10980272386134192,-0.016661167453236054,1
ks,id,1,0.0220404,0.018369630082613834,0.0007498944664767489,-0.003670769917386168,3
ks,id,10,0.448196,0.38954951200220317,0.13311441822593348,-0.058646487997796794,2
ks,id,20,1.06923,0.973184929953681,0.16923869306258152,-0.09604507004631883,2
ks,id,29,1.2974,1.2810739941067169,0.08609043843903078,-0.016326005893283407,2
ks,ood_low,1,0.0432896,0.023729005828499735,0.004732948401447877,-0.019560594171500263,3
ks,ood_low,10,0.395752,0.2944538096586863,0.10747974694076488,-0.10129819034131371,2
ks,ood_low,20,0.77588,0.6602908935811784,0.41169452357889263,-0.11558910641882159,2
ks,ood_low,29,1.156,0.9491667648156484,0.6197208681618676,-0.2068332351843515,2
ks,ood_high,1,0.0430575,0.032355816413958835,0.0025834020909255777,-0.010701683586041164,3
ks,ood_high,10,0.577683,0.49797262748082477,0.03392523872624524,-0.07971037251917516,3
ks,ood_high,20,1.05451,0.9919090933269925,0.056996349826247905,-0.06260090667300759,2
ks,ood_high,29,1.26888,1.1661915249294703,0.08315232247018789,-0.10268847507052954,3
fisher,id,1,0.0212306,0.025047638763983998,0.0065963647956697275,0.0038170387639840015,1
fisher,id,10,0.260098,0.2802465905745824,0.07729135278882344,0.020148590574582393,1
fisher,id,20,0.359387,0.393125530746248,0.06521811589073238,0.03373853074624802,1
fisher,id,29,0.350751,0.3703482647736867,0.039390898266589966,0.019597264773686746,1
fisher,ood_low,1,0.0614514,0.06517622081769833,0.00897137587522975,0.0037248208176983272,1
fisher,ood_low,10,0.349676,0.3723588974939452,0.060954725846041585,0.022682897493945198,1
fisher,ood_low,20,0.511141,0.5115169568194283,0.0700514404029585,0.0003759568194283691,1
fisher,ood_low,29,0.515914,0.49942939811282683,0.052794846000221905,-0.01648460188717314,2
fisher,ood_high,1,0.0420773,0.039945410047140334,0.001197945462139035,-0.002131889952859664,3
fisher,ood_high,10,0.316081,0.3193659418159061,0.04349280771508055,0.0032849418159060693,2
fisher,ood_high,20,0.283727,0.36895856095684904,0.05154838824842476,0.08523156095684899,0
fisher,ood_high,29,0.276454,0.3514150223798222,0.03737499828160644,0.07496102237982218,0
gs_alpha,id,1,0.0430024,0.03375937520629827,0.004851338036561716,-0.009243024793701735,3
gs_alpha,id,10,0.332056,0.3239095078574286,0.10567073335678491,-0.008146492142571385,2
gs_alpha,id,20,0.860204,0.6451772385173374,0.09477466633886389,-0.21502676148266256,3
gs_alpha,id,29,1.13043,0.9110162854194641,0.08052542471503844,-0.21941371458053596,3
gs_alpha,ood_low,1,0.0371497,0.030356365359491735,0.0023032327339781496,-0.006793334640508267,3
gs_alpha,ood_low,10,0.49676,0.3271893759568532,0.09603081312403039,-0.1695706240431468,3
gs_alpha,ood_low,20,1.12681,0.7781779567400614,0.18846389735023922,-0.34863204325993863,3
gs_alpha,ood_low,29,1.26029,0.9967181417677137,0.15705028206847343,-0.2635718582322862,3
gs_alpha,ood_high,1,0.0470817,0.04041307274666093,0.006548061273027907,-0.006668627253339064,3
gs_alpha,ood_high,10,0.307303,0.4737004720502429,0.18412990496449871,0.16639747205024294,1
gs_alpha,ood_high,20,0.733611,0.809540092945099,0.23249935939214436,0.07592909294509897,1
gs_alpha,ood_high,29,0.991661,1.0156957175996568,0.1962262253483394,0.024034717599656807,1
gs_beta,id,1,0.0948384,0.10470293213923766,0.006925119860983134,0.009864532139237664,0
gs_beta,id,10,1.18365,1.3153469297620985,0.06744034176829625,0.13169692976209846,0
gs_beta,id,20,0.999832,1.0567763712671068,0.09581972689003966,0.05694437126710672,1
gs_beta,id,29,1.0687,1.0148966047498915,0.0729767268423197,-0.05380339525010843,2
gs_beta,ood_low,1,0.147579,0.15796018474631834,0.00743199640979199,0.010381184746318347,0
gs_beta,ood_low,10,1.0848,0.9909690949651929,0.03640295077193467,-0.09383090503480702,3
gs_beta,ood_low,20,1.1251,1.140308141708374,0.013822388209515703,0.015208141708374034,0
gs_beta,ood_low,29,1.09422,1.161461896366543,0.06539958013177789,0.06724189636654317,0
gs_beta,ood_high,1,0.223685,0.2365627917978499,0.031363814025812405,0.012877791797849869,2
gs_beta,ood_high,10,0.473508,1.6352024012141755,0.5364787469182855,1.1616944012141757,0
gs_beta,ood_high,20,1.97172,1.3894727494981556,0.8959371956063468,-0.5822472505018444,2
gs_beta,ood_high,29,2.29305,1.6923517915937636,0.48180025732483633,-0.6006982084062363,3
gs_gamma,id,1,0.0468803,0.045016394307216,0.002034818762705319,-0.0018639056927840004,3
gs_gamma,id,10,0.540491,0.49884063998858125,0.013015480311699093,-0.04165036001141873,3
gs_gamma,id,20,0.848632,0.8543390300538803,0.011908778917220631,0.005707030053880402,1
gs_gamma,id,29,1.00257,0.989070475101471,0.015955546704619517,-0.01349952489852905,3
gs_gamma,ood_low,1,0.0940648,0.1160042012731234,0.04546764689412782,0.021939401273123396,1
